재생목록,순서,영상ID,제목,채널,원본URL,상태,자막확보,자막언어,자동생성,분류,한줄요약,상세정리
성장을 위한,1,5Gty04W5lPg,당신의 경쟁자가 *절대* 보게 두면 안되는 영상 | 타이 로페즈,민팍의 마음너머,https://www.youtube.com/watch?v=5Gty04W5lPg,자막 기반 요약,예,en,확인 안 됨,"실행·습관, 사업·브랜딩, 학습·기록","타이 로페즈는 성공이 단순한 노력이 아닌 성실성(조직화, 완벽주의, 근면, 신중)의 조화에서 온다고 강조합니다.",01-growth.md#5Gty04W5lPg
성장을 위한,2,TQsrWa_mGCE,하버드 학생들에게 해주고 싶은 이야기 | 조던 피터슨 (한글자막),비버처럼앞니쏙,https://www.youtube.com/watch?v=TQsrWa_mGCE,자막 기반 요약,예,en,자동,"학습·기록, 소통·관계, 신앙·가치","조던 피터슨은 대학 시절을 단순히 직업 교육의 장이 아닌, 읽고 생각하며 말하는 능력을 연마하여 최고의 역량을 갖추는 시기로 정의합니다.",01-growth.md#TQsrWa_mGCE
성장을 위한,3,oYXHmzMvS4E,앉아있으면 머리가 나빠져요. 뇌를 제대로 알려드릴게요.,돈공-돈버는공식,https://www.youtube.com/watch?v=oYXHmzMvS4E,자막 기반 요약,예,ko,수동,"학습·기록, 건강, 회복·감정","존 메디나 박사는 인간의 뇌가 생존과 문제 해결을 위해 진화했으며, 신체 활동과 정서적 안정이 뇌 기능을 극대화하는 핵심이라고 설명합니다.",01-growth.md#oYXHmzMvS4E
성장을 위한,4,Kc_cvAXCs4Y,고생하면 머리가 좋아져요. 뇌를 제대로 알려드릴게요 (2),돈공-돈버는공식,https://www.youtube.com/watch?v=Kc_cvAXCs4Y,자막 기반 요약,예,ko,수동,"학습·기록, 소통·관계, 건강","뇌는 학습을 통해 물리적으로 재편성되며, 다양한 감각과 시각적 자극을 통합적으로 활용할 때 학습 효율이 극대화됩니다.",01-growth.md#Kc_cvAXCs4Y
성장을 위한,5,wGvlcUqhdZU,시크릿 주인공 중 한 명이 직접 한 말..*충격 주의* | 동기부여 | 존아사라프,민팍의 마음너머,https://www.youtube.com/watch?v=wGvlcUqhdZU,자막 기반 요약,예,en,자동,"실행·습관, 학습·기록, 회복·감정","존 아사라프는 단순한 관심이 아닌 '전념'이 성공의 핵심이며, 뇌의 주파수를 목표에 맞추는 것이 중요하다고 강조합니다.",01-growth.md#wGvlcUqhdZU
성장을 위한,6,b7vxBoXds2U,내 인생을 원자 단위로 쪼개 변화시키는 방법,돈공-돈버는공식,https://www.youtube.com/watch?v=b7vxBoXds2U,자막 기반 요약,예,ko,수동,"실행·습관, 학습·기록",제임스 클리어의 저서를 바탕으로 인생을 원자 단위로 쪼개어 변화시키는 구체적인 습관 형성 전략을 소개합니다.,01-growth.md#b7vxBoXds2U
성장을 위한,7,Q7OStpDzvYM,내 인생을 원자 단위로 쪼개 변화시키는 방법 (2),돈공-돈버는공식,https://www.youtube.com/watch?v=Q7OStpDzvYM,자막 기반 요약,예,ko,수동,"실행·습관, 소통·관계",습관을 지속하려면 도파민의 보상 기대를 활용해 행동 자체를 매력적으로 설계해야 합니다.,01-growth.md#Q7OStpDzvYM
성장을 위한,8,ikto49_6Cqk,단순하고 멋진 삶은 지금 바로 시작할 수 있습니다,돈공-돈버는공식,https://www.youtube.com/watch?v=ikto49_6Cqk,자막 기반 요약,예,ko,수동,"실행·습관, 회복·감정, 소통·관계","진정한 성공은 모든 것에 신경 쓰는 것이 아니라, 자신만의 명확한 가치관에 따라 중요한 것에만 집중하는 태도에서 시작됩니다.",01-growth.md#ikto49_6Cqk
성장을 위한,9,c0Wl9K2gBIo,"베푸는사람 vs 뺏는사람 vs 기브앤테이크(feat. 코난 오브라이언, 버락 오바마)","Success Code, 데일리 동기부여 채널",https://www.youtube.com/watch?v=c0Wl9K2gBIo,자막 기반 요약,예,en,자동,"소통·관계, 실행·습관, 신앙·가치",타인에게 베푸는 '기버'는 성과 지표에서 최하위와 최상위를 동시에 차지하는 독특한 양면성을 보여줍니다.,01-growth.md#c0Wl9K2gBIo
성장을 위한,10,tupPml1hQjQ,전설의 나폴레온 힐 연설 영상,민팍의 마음너머,https://www.youtube.com/watch?v=tupPml1hQjQ,자막 기반 요약,예,en,자동,"실행·습관, 신앙·가치, 기타",나폴레온 힐은 자기 통제를 통해 잠재의식에 명확한 목표를 각인시키는 것이 성공의 핵심이라고 강조합니다.,01-growth.md#tupPml1hQjQ
성장을 위한,11,eAIqY3BNUwc,"많은 영재들도 결국 ""다 망하더군"" | 트럼프",민팍의 마음너머,https://www.youtube.com/watch?v=eAIqY3BNUwc,자막 기반 요약,예,en,자동,"실행·습관, 신앙·가치",트럼프는 성공의 핵심이 뛰어난 재능보다 비전을 향한 끈기와 절대 포기하지 않는 태도에 있다고 강조합니다.,01-growth.md#eAIqY3BNUwc
성장을 위한,12,gmrs8UxAZwo,성공한 엘리트 중 상위 10%는 '이것'이 달랐다,작심만일 : 성공 마인드 동반자,https://www.youtube.com/watch?v=gmrs8UxAZwo,자막 기반 요약,예,en,자동,"실행·습관, 학습·기록, 도구·AI","성공한 엘리트들은 해야 할 일뿐만 아니라 하지 말아야 할 목록을 명확히 관리하며, 특히 아침 첫 한 시간을 스마트폰 없이 보냅니다.",01-growth.md#gmrs8UxAZwo
성장을 위한,13,I5oTw7AJ1Rk,당신을 엘리트로 만들 단 한 가지의 '성공' 습관,작심만일 : 성공 마인드 동반자,https://www.youtube.com/watch?v=I5oTw7AJ1Rk,자막 기반 요약,예,en,자동,"학습·기록, 실행·습관, 소통·관계","글쓰기는 생각을 정교화하는 과정이며, 이를 통해 자신의 목소리를 찾고 세상을 설득하는 강력한 무기를 갖출 수 있습니다.",01-growth.md#I5oTw7AJ1Rk
성장을 위한,14,z7r0DIjRGd4,[밥 로스] 듣고 있으면 절로 힐링되는 밥 아저씨의 인생 명언들 (한영 자막),Project스노우볼,https://www.youtube.com/watch?v=z7r0DIjRGd4,자막 기반 요약,예,en,자동,"실행·습관, 회복·감정, 기타","밥 로스는 그림에 실수는 없으며 단지 '즐거운 사고'가 있을 뿐이라고 강조하며, 완벽함보다 과정의 즐거움을 찾으라고 조언합니다.",01-growth.md#z7r0DIjRGd4
성장을 위한,15,Zixr-ttMfRc,성공하는 사람은 반드시 이 원칙을 지키며 말한다 (원본 조회수: 1520만회),작심만일 : 성공 마인드 동반자,https://www.youtube.com/watch?v=Zixr-ttMfRc,자막 기반 요약,예,en,자동,"사업·브랜딩, 소통·관계",성공하는 리더와 기업은 '무엇을'이 아닌 '왜'라는 본질적인 목적에서 시작하여 사람들의 마음을 움직입니다.,01-growth.md#Zixr-ttMfRc
성장을 위한,16,BSGNPHxonKI,인생을 바꾸는 아침습관ㅣ동기부여ㅣ한영 자막,잭스파이어 Jackspire,https://www.youtube.com/watch?v=BSGNPHxonKI,자막 기반 요약,예,en,자동,"실행·습관, 회복·감정",거울 속 자신에게 하이파이브를 하는 간단한 아침 습관이 자기 비판을 멈추고 긍정적인 자아 파트너십을 형성하게 돕습니다.,01-growth.md#BSGNPHxonKI
성장을 위한,17,J9bpQxB4iOE,데드라인이 없어서 일을 미루기만 하는 당신이 지금 봐야하는 영상,돈공-돈버는공식,https://www.youtube.com/watch?v=J9bpQxB4iOE,자막 기반 요약,예,ko,수동,"실행·습관, 소통·관계, 기타",데드라인이 없는 중요한 일을 미루지 않으려면 실패를 미리 시뮬레이션하는 '사전 검열'과 삶에 대한 강한 주인의식이 필요합니다.,01-growth.md#J9bpQxB4iOE
성장을 위한,18,bkJcRq1Pfys,우리 모두가 갖고 있는 행복 치트키 - 게리 바이너척,게리 바이너척 Gary Vaynerchuk Korean,https://www.youtube.com/watch?v=bkJcRq1Pfys,자막 기반 요약,예,en,자동,"회복·감정, 실행·습관, 소통·관계",게리 바이너척은 인간으로 태어난 것 자체가 희박한 확률의 기적임을 강조하며 관점의 전환을 촉구합니다.,01-growth.md#bkJcRq1Pfys
성장을 위한,19,Uuq4OME-7-M,인생을 성공으로 이끄는 ‘5초 법칙’ㅣ멜 로빈스 동기부여ㅣ한영 자막,잭스파이어 Jackspire,https://www.youtube.com/watch?v=Uuq4OME-7-M,영상 직접 분석,예,vi,자동,"실행·습관, 학습·기록, 기타",멜 로빈스는 뇌의 방어 기제를 극복하고 행동을 이끌어내는 '5초 법칙'을 설명합니다.,01-growth.md#Uuq4OME-7-M
성장을 위한,20,3EtsD-ZMtOw,50조 부자의 인터뷰 - 성공적인 인생과 비즈니스를 위한 5가지 조언 | 동기부여학과,동기부여학과,https://www.youtube.com/watch?v=3EtsD-ZMtOw,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩, 소통·관계","성공한 사람들은 목표를 위해 기꺼이 대가를 지불하며, 자신의 한계를 규정하지 않고 거대한 꿈을 시각화합니다.",01-growth.md#3EtsD-ZMtOw
성장을 위한,21,nFBoJ5SKe2s,두려움에서 나오세요 - 당신을 다시 깨우는 영상 | 댄 페냐 | 한영자막,제임스비디오 James video,https://www.youtube.com/watch?v=nFBoJ5SKe2s,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩, 기타",댄 페냐는 두려움 때문에 기회를 놓치고 준비만 하며 시간을 낭비하는 태도를 강하게 비판합니다.,01-growth.md#nFBoJ5SKe2s
성장을 위한,22,7X-BOvSaQBw,당신의 인생을 180도 바꿀 수 있는 30분 마인드셋 | 동기부여학과,동기부여학과,https://www.youtube.com/watch?v=7X-BOvSaQBw,자막 기반 요약,예,ko,자동,"실행·습관, 기타, 학습·기록",부자가 되기 위해서는 자산과 부채의 차이를 명확히 알고 학교에서 가르치지 않는 금융 지식을 스스로 학습해야 합니다.,01-growth.md#7X-BOvSaQBw
성장을 위한,23,dGJya2dpjko,[닐 디그래스 타이슨] 아는 것과 생각해 내는 힘의 차이 (한영 자막),Project스노우볼,https://www.youtube.com/watch?v=dGJya2dpjko,자막 기반 요약,예,en,자동,"학습·기록, 기타",닐 디그래스 타이슨은 단순히 정답을 외우는 것보다 스스로 생각하는 법을 익히는 것이 중요하다고 강조합니다.,01-growth.md#dGJya2dpjko
성장을 위한,24,NyA5y_0RDeU,모든 남자들을 위한 41가지 신조,민팍의 마음너머,https://www.youtube.com/watch?v=NyA5y_0RDeU,자막 기반 요약,예,en,자동,"신앙·가치, 소통·관계, 실행·습관",남성이 능력 있고 유덕한 존재로 거듭나기 위해 지켜야 할 41가지의 신성한 의무와 신조를 소개합니다.,01-growth.md#NyA5y_0RDeU
