자료ID,플랫폼,정리제목,제작자,원본URL,원래목록,활용주제,이전확인수준,기존요약,이번확인주장,이번선별검토,선별인사이트,적용조건,내경험질문,상세정리
5Gty04W5lPg,YouTube 영상,당신의 경쟁자가 *절대* 보게 두면 안되는 영상 | 타이 로페즈,민팍의 마음너머,https://www.youtube.com/watch?v=5Gty04W5lPg,"성장을 위한 / 인생수업, 위기의 때",학습·생각·글쓰기 / 고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,"타이 로페즈는 성공이 단순한 노력이 아닌 성실성(조직화, 완벽주의, 근면, 신중)의 조화에서 온다고 강조합니다. 특히 멘토와 독서를 통해 올바른 방향을 설정하고, 매일 10분간 하루를 계획하는 조직적인 습관이 부의 핵심이라고 설명합니다.",타이 로페즈는 아침에 10분 정도 메모하며 하루 주요 프로젝트를 적는 자신의 습관을 제안한다. 해당 구간 끝에서 적게는 세 개의 주요 프로젝트를 쓸 수 있다고 말한다.,자막·캡션 구간 직접 대조,하루를 시작할 때 오늘 다룰 문제와 끝났다고 볼 조건을 짧게 정리하는 소재로 사용할 수 있다. 세 개는 고정 규칙이 아니라 화자의 예시다. 자신의 날에 맞게 한 개를 택하고 저녁에 실제 결과와 비교해 보는 글이 더 구체적이다.,"영상 앞부분의 주의집중 시간·성격 특성과 사업 성공·노력의 비중, 같은 구간의 빌 게이츠 일화는 이번에 검증하지 않았다. 유명인의 성공으로 계획 습관의 효과를 증명하거나 사업 성과를 보장한다고 쓰지 않는다.","오늘 꼭 다룰 문제를 한 문장으로 적었을 때, 이전의 할 일 목록과 실제 선택이 달라졌는가?",sources/youtube/01-growth.md#5Gty04W5lPg
TQsrWa_mGCE,YouTube 영상,하버드 학생들에게 해주고 싶은 이야기 | 조던 피터슨 (한글자막),비버처럼앞니쏙,https://www.youtube.com/watch?v=TQsrWa_mGCE,"성장을 위한 / 인생수업, 위기의 때",학습·생각·글쓰기 / 가치·관계·삶,자막 기반 요약,"조던 피터슨은 대학 시절을 단순히 직업 교육의 장이 아닌, 읽고 생각하며 말하는 능력을 연마하여 최고의 역량을 갖추는 시기로 정의합니다. 그는 학생들이 세상의 불필요한 고통을 줄이기 위해 막중한 책임을 짊어지고 자신의 잠재력을 실현할 것을 권고합니다.",,없음,,,,sources/youtube/01-growth.md#TQsrWa_mGCE
oYXHmzMvS4E,YouTube 영상,앉아있으면 머리가 나빠져요. 뇌를 제대로 알려드릴게요.,돈공-돈버는공식,https://www.youtube.com/watch?v=oYXHmzMvS4E,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복 / 별도 확인·배경,자막 기반 요약,"존 메디나 박사는 인간의 뇌가 생존과 문제 해결을 위해 진화했으며, 신체 활동과 정서적 안정이 뇌 기능을 극대화하는 핵심이라고 설명합니다. 특히 운동은 뇌의 집행 기능을 활성화하고, 스트레스와 수면 부족은 인지 능력을 저하시키므로 철저한 관리가 필요하다고 강조합니다.",,없음,,,,sources/youtube/01-growth.md#oYXHmzMvS4E
Kc_cvAXCs4Y,YouTube 영상,고생하면 머리가 좋아져요. 뇌를 제대로 알려드릴게요 (2),돈공-돈버는공식,https://www.youtube.com/watch?v=Kc_cvAXCs4Y,성장을 위한,학습·생각·글쓰기 / 가치·관계·삶 / 별도 확인·배경,자막 기반 요약,"뇌는 학습을 통해 물리적으로 재편성되며, 다양한 감각과 시각적 자극을 통합적으로 활용할 때 학습 효율이 극대화됩니다. 인간은 본래 탐험가로 설계되었으므로 성별에 따른 뇌 구조와 소통 방식의 차이를 이해하고 능동적으로 새로운 지식을 습득해야 합니다.",,없음,,,,sources/youtube/01-growth.md#Kc_cvAXCs4Y
wGvlcUqhdZU,YouTube 영상,시크릿 주인공 중 한 명이 직접 한 말..*충격 주의* | 동기부여 | 존아사라프,민팍의 마음너머,https://www.youtube.com/watch?v=wGvlcUqhdZU,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,"존 아사라프는 단순한 관심이 아닌 '전념'이 성공의 핵심이며, 뇌의 주파수를 목표에 맞추는 것이 중요하다고 강조합니다. 그는 두려움과 제한적 신념을 극복하고 목표를 향한 구체적인 행동과 학습을 지속할 것을 권장합니다.",,없음,,,,sources/youtube/01-growth.md#wGvlcUqhdZU
b7vxBoXds2U,YouTube 영상,내 인생을 원자 단위로 쪼개 변화시키는 방법,돈공-돈버는공식,https://www.youtube.com/watch?v=b7vxBoXds2U,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,제임스 클리어의 저서를 바탕으로 인생을 원자 단위로 쪼개어 변화시키는 구체적인 습관 형성 전략을 소개합니다. 변화의 핵심은 강력한 의지력이 아니라 행동을 명확히 규정하고 유혹을 차단하는 환경을 설계하는 데 있습니다.,"제임스 클리어의 책을 소개하는 해설은 매일 하는 행동을 적고, 시간·장소·행동을 구체화하라고 제안한다. 후반에는 강한 자제력을 계속 쓰기보다 방해 신호와 거리를 두는 환경을 설명한다.",자막·캡션 구간 직접 대조,"‘나는 꾸준하지 못하다’는 평가를 하기 전에, 쓰려던 순간 무엇이 보였고 어떤 준비가 필요했는지 관찰할 수 있다. 글쓰기 시작 시 문서 찾기·제목 정하기·자료 찾기에서 멈춘다면, 다음 번 첫 문장이나 질문 하나를 미리 남기는 정도의 작은 실험이 가능하다.",환경만으로 모든 실행 문제가 해결되는 것은 아니다. 외부 책임·건강·자원 제약도 확인해야 한다. 습관 책의 1%→37배 비유나 중독·건강 사례를 검증된 인간 성과 공식으로 사용하지 않는다.,나는 매번 어느 지점에서 글을 쓰기 전에 다른 일을 시작하는가? 다음번에는 무엇 하나를 미리 준비하거나 치워 볼 수 있는가?,sources/youtube/01-growth.md#b7vxBoXds2U
Q7OStpDzvYM,YouTube 영상,내 인생을 원자 단위로 쪼개 변화시키는 방법 (2),돈공-돈버는공식,https://www.youtube.com/watch?v=Q7OStpDzvYM,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,습관을 지속하려면 도파민의 보상 기대를 활용해 행동 자체를 매력적으로 설계해야 합니다. 유혹 묶기 전략과 적절한 공동체 선택을 통해 하기 싫은 일을 하고 싶은 일로 변모시키는 것이 핵심입니다.,,없음,,,,sources/youtube/01-growth.md#Q7OStpDzvYM
ikto49_6Cqk,YouTube 영상,단순하고 멋진 삶은 지금 바로 시작할 수 있습니다,돈공-돈버는공식,https://www.youtube.com/watch?v=ikto49_6Cqk,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"진정한 성공은 모든 것에 신경 쓰는 것이 아니라, 자신만의 명확한 가치관에 따라 중요한 것에만 집중하는 태도에서 시작됩니다. 고통을 성장의 동력으로 받아들이고 평범한 일상의 소중함을 깨달을 때, 타인의 시선에서 벗어나 주체적인 삶을 살 수 있습니다.",,없음,,,,sources/youtube/01-growth.md#ikto49_6Cqk
c0Wl9K2gBIo,YouTube 영상,"베푸는사람 vs 뺏는사람 vs 기브앤테이크(feat. 코난 오브라이언, 버락 오바마)","Success Code, 데일리 동기부여 채널",https://www.youtube.com/watch?v=c0Wl9K2gBIo,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,타인에게 베푸는 '기버'는 성과 지표에서 최하위와 최상위를 동시에 차지하는 독특한 양면성을 보여줍니다. 냉소주의를 버리고 친절과 성실함을 유지하는 태도가 결국 인생에서 가장 가치 있는 성취와 기억을 남깁니다.,,없음,,,,sources/youtube/01-growth.md#c0Wl9K2gBIo
tupPml1hQjQ,YouTube 영상,전설의 나폴레온 힐 연설 영상,민팍의 마음너머,https://www.youtube.com/watch?v=tupPml1hQjQ,"성장을 위한 / 인생수업, 위기의 때",실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"나폴레온 힐은 자기 통제를 통해 잠재의식에 명확한 목표를 각인시키는 것이 성공의 핵심이라고 강조합니다. 그는 과거의 실패를 잊고 이미 성공한 것처럼 행동하며, 모든 역경 속에서 성장의 기회를 찾아내는 태도를 가질 것을 권장합니다.",,없음,,,,sources/youtube/01-growth.md#tupPml1hQjQ
